Week;ILI
201037;5318
201038;8936
201039;11978
201040;18331
201041;17352
201042;18709
201043;16002
201044;15833
201045;9040
201046;15465
201047;26598
201048;36982
201049;54971
201050;104874
201051;158957
201052;228105
201101;309933
201102;308949
201103;275882
201104;278218
201105;278192
201106;216579
201107;149219
201108;78392
201109;54522
201110;33628
201111;14619
201112;12491
201113;8749
201114;7352
201115;6557
201116;5061
201117;2659
201118;5306
201119;5416
201120;3951
201121;2694
201122;3122
201123;3406
201124;3507
201125;3791
201126;1155
201127;3524
201128;1977
201129;2265
201130;3972
201131;2409
201132;2590
201133;2421
201134;3312
201135;4178
201136;4606
201137;8365
201138;14007
201139;17021
201140;14053
201141;7486
201142;16932
201143;21522
201144;14050
201145;18104
201146;22368
201147;17627
201148;32358
201149;27209
201150;24155
201151;25835
201152;36532
201201;45104
201202;40507
201203;49440
201204;67778
201205;106110
201206;175123
201207;263557
201208;287293
201209;225648
201210;174704
201211;128945
201212;84738
201213;62917
201214;36740
201215;20437
201216;11455
201217;6982
201218;2328
201219;3267
201220;2731
201221;3722
201222;5772
201223;2361
201224;5977
201225;2669
201226;4819
201227;4162
201228;4628
201229;6329
201230;1834
201231;2696
201232;6381
201233;6492
201234;3858
201235;8277
201236;6384
201237;7775
201238;14715
201239;20257
201240;17873
201241;18675
201242;13096
201243;17791
201244;13106
201245;18893
201246;26436
201247;39223
201248;43006
201249;47537
201250;79918
201251;113901
201252;159290
201301;163491
201302;184159
201303;224661
201304;391525
201305;492026
201306;471647
201307;470076
201308;351626
201309;259984
201310;165558
201311;84308
201312;60822
201313;43236
201314;36855
201315;19357
201316;9520
201317;7941
201318;3415
201319;1166
201320;3831
201321;5974
201322;7245
201323;16094
201324;7245
201325;2735
201326;3488
201327;4278
201328;983
201329;1696
201330;2169
201331;2270
201332;4709
201333;4740
201334;1889
201335;1291
201336;4639
201337;5027
201338;9324
201339;5371
201340;9794
201341;12391
201342;14830
201343;15780
201344;10193
201345;10596
201346;13340
201347;22636
201348;17606
201349;18071
201350;24055
201351;29787
201352;30142
201401;35624
201402;46850
201403;64159
201404;85280
201405;120261
201406;160403
201407;208726
201408;188419
201409;147035
201410;86105
201411;44513
201412;23524
201413;21577
201414;19217
201415;10800
201416;7057
201417;2989
201418;4708
201419;3588
201420;5881
201421;4523
201422;6907
201423;5164
201424;2007
201425;4564
201426;3858
201427;4823
201428;4145
201429;5122
201430;4631
201431;4143
201432;3229
201433;2358
201434;2367
201435;2268
201436;5018
201437;7714
201438;10567
201439;8583
201440;16526
201441;22486
201442;21651
201443;16011
201444;15500
201445;16172
201446;14764
201447;18158
201448;28156
201449;33537
201450;42182
201451;45346
201452;63168
201501;70962
201502;104096
201503;153931
201504;292161
201505;457911
201506;533317
201507;517750
201508;409972
201509;238947
201510;143931
201511;99295
201512;70024
201513;49563
201514;30940
201515;19458
201516;12098
201517;6382
201518;3664
201519;6307
201520;4594
201521;5547
201522;4262
201523;2702
201524;2849
201525;2607
201526;2536
201527;2257
201528;2089
201529;2389
201530;2447
201531;2845
201532;1594
201533;1537
201534;760
201535;229
201536;1922
201537;8817
201538;8402
201539;8595
201540;13100
201541;13585
201542;18675
201543;16749
201544;14596
201545;13577
201546;12599
201547;14959
201548;16428
201549;21479
201550;25043
201551;29080
201552;19495
201553;24835
201601;42263
201602;44617
201603;75277
201604;148473
201605;178963
201606;196143
201607;207359
201608;195067
201609;229943
201610;261822
201611;304543
201612;272174
201613;170654
201614;92603
201615;48441
201616;25670
201617;13385
201618;8204
201619;4738
201620;3922
201621;5603
201622;5667
201623;4893
201624;4977
201625;4611
201626;4186
201627;5905
201628;2725
201629;1470
201630;3209
201631;3691
201632;2100
201633;1567
201634;2233
201635;3420
201636;2349
201637;4570
